flight_date,record_created_date,flight_type,origin_airport,destination_airport,aircraft_type,pilot_name,passengers,scheduled_duration_hours,actual_duration_hours,departure_delay_minutes,arrival_delay_minutes
2026-03-21,2026-03-17,Domestic,TAG,KLO,Boeing 737-800,Pilot B,80,1.83,2.2,0,22
2026-04-10,2026-04-04,Domestic,DVO,ILO,Boeing 737-800,Pilot A,74,1.61,1.85,11,13
2026-03-09,2026-03-06,Domestic,BCD,CEB,Airbus A320,Pilot H,173,1.16,1.22,25,9
2026-04-11,2026-04-10,International,KLO,BCD,Airbus A320,Pilot I,67,6.62,7.56,33,57
2026-03-07,2026-03-04,Domestic,CEB,BCD,Airbus A320,Pilot H,118,2.9,3.47,14,28
2026-03-11,2026-03-08,Domestic,ILO,PPS,ATR 72-600,Pilot B,174,2.97,2.52,-6,-15
2026-04-05,2026-03-31,Domestic,BCD,DGT,ATR 72-600,Pilot A,123,2.91,2.96,2,3
2026-04-18,2026-04-13,Domestic,DGT,CEB,Airbus A320,Pilot B,222,1.88,3.22,26,87
2026-03-11,2026-03-07,Domestic,TAG,ILO,Airbus A320,Pilot J,191,1.48,1.27,-10,-5
2026-03-19,2026-03-16,Domestic,MNL,DVO,Airbus A321,Pilot I,69,2.33,2.36,8,0
2026-04-26,2026-04-22,International,DVO,DGT,Boeing 737-800,Pilot D,219,8.06,7.84,4,-9
2026-04-30,2026-04-28,Domestic,ILO,KLO,Boeing 737-800,Pilot A,240,2.54,3.18,10,47
2026-04-05,2026-04-03,Domestic,CEB,MNL,Boeing 737-800,Pilot D,84,1.99,2.32,-10,10
2026-03-28,2026-03-23,Domestic,KLO,BCD,ATR 72-600,Pilot J,118,2.45,2.89,-10,20
2026-03-22,2026-03-15,International,MNL,CRK,Airbus A321,Pilot B,126,8.38,8.68,23,32
2026-04-07,2026-04-03,Domestic,CEB,DVO,Boeing 737-800,Pilot J,133,3.01,3.85,33,61
2026-04-06,2026-04-05,Domestic,MNL,PPS,Boeing 737-800,Pilot F,142,2.63,2.45,-10,-15
2026-03-18,2026-03-11,International,DVO,KLO,Airbus A321,Pilot B,236,7.87,8.3,20,28
2026-03-02,2026-02-27,Domestic,PPS,ILO,ATR 72-600,Pilot L,183,1.46,2.41,36,46
2026-03-10,2026-03-04,International,CEB,KLO,Airbus A320,Pilot G,237,10.34,11.33,25,55
2026-04-28,2026-04-21,Domestic,DGT,TAG,Boeing 737-800,Pilot I,117,1.59,1.86,3,14
2026-03-26,2026-03-19,Domestic,DVO,KLO,Boeing 737-800,Pilot B,155,3.06,2.69,-9,-15
2026-03-30,2026-03-29,Domestic,MNL,CEB,ATR 72-600,Pilot E,63,2.02,2.41,14,20
2026-03-29,2026-03-27,International,CRK,MNL,Boeing 737-800,Pilot H,100,9.93,9.64,17,-8
2026-04-17,2026-04-12,Domestic,PPS,CRK,Airbus A321,Pilot H,168,1.64,1.55,14,-15
2026-03-04,2026-02-26,Domestic,CEB,MNL,ATR 72-600,Pilot A,77,2.33,2.85,8,28
2026-03-06,2026-02-28,Domestic,MNL,CRK,ATR 72-600,Pilot H,251,2.05,1.75,-10,-12
2026-03-17,2026-03-13,Domestic,TAG,MNL,Boeing 737-800,Pilot L,99,1.11,1.56,21,21
2026-03-30,2026-03-28,Domestic,KLO,CRK,ATR 72-600,Pilot J,75,2.89,3.86,22,42
2026-04-10,2026-04-05,Domestic,CRK,KLO,Airbus A320,Pilot C,211,1.66,2.4,16,46
2026-03-30,2026-03-25,International,PPS,CEB,Boeing 737-800,Pilot K,59,4.14,4.69,14,29
2026-03-27,2026-03-23,Domestic,TAG,ILO,ATR 72-600,Pilot I,111,1.29,2.72,49,89
2026-04-27,2026-04-22,Domestic,CRK,DGT,Airbus A321,Pilot A,83,2.13,2.34,-2,12
2026-03-10,2026-03-08,Domestic,KLO,MNL,Airbus A321,Pilot B,192,2.48,3.13,40,50
2026-04-04,2026-03-29,Domestic,MNL,DVO,Embraer E190,Pilot L,225,2.91,2.99,-4,5
2026-04-03,2026-04-02,Domestic,CRK,DVO,ATR 72-600,Pilot C,82,0.92,1.23,36,18
2026-03-29,2026-03-23,Domestic,KLO,TAG,ATR 72-600,Pilot B,131,3.14,4.37,39,61
2026-04-19,2026-04-13,Domestic,CEB,ILO,Airbus A321,Pilot F,145,2.49,2.02,6,-15
2026-03-17,2026-03-12,Domestic,DGT,BCD,Embraer E190,Pilot G,192,1.48,2.16,49,43
2026-04-28,2026-04-22,Domestic,DGT,MNL,Airbus A320,Pilot G,117,1.29,1.89,22,27
2026-03-21,2026-03-14,Domestic,DVO,PPS,Boeing 737-800,Pilot H,155,1.51,1.23,-7,-15
2026-04-03,2026-04-01,Domestic,CRK,MNL,Airbus A321,Pilot L,150,2.9,2.9,4,1
2026-04-01,2026-03-28,Domestic,CEB,PPS,ATR 72-600,Pilot J,42,1.5,2.65,37,75
2026-04-21,2026-04-16,Domestic,KLO,CEB,ATR 72-600,Pilot A,165,1.91,2.75,32,57
2026-03-27,2026-03-20,Domestic,CEB,TAG,Boeing 737-800,Pilot B,164,2.49,2.02,-10,-15
2026-03-18,2026-03-12,International,CRK,DVO,Boeing 737-800,Pilot A,258,4.24,4.26,9,6
2026-03-02,2026-02-25,Domestic,KLO,CEB,Airbus A321,Pilot E,152,2.38,2.23,16,-2
2026-03-23,2026-03-19,Domestic,BCD,CRK,Boeing 737-800,Pilot E,237,2.61,2.94,1,19
2026-04-20,2026-04-18,Domestic,KLO,MNL,Boeing 737-800,Pilot L,116,1.22,2.21,64,65
2026-03-01,2026-02-26,Domestic,DVO,CEB,Airbus A320,Pilot E,193,2.91,2.64,17,-13
2026-04-24,2026-04-20,Domestic,PPS,KLO,Boeing 737-800,Pilot A,238,1.46,1.71,11,18
2026-04-03,2026-03-27,Domestic,BCD,CRK,ATR 72-600,Pilot K,73,1.11,1.95,38,51
2026-03-09,2026-03-02,Domestic,PPS,CRK,Boeing 737-800,Pilot D,164,3.14,3.51,4,26
2026-03-19,2026-03-14,International,ILO,TAG,ATR 72-600,Pilot K,242,9.27,9.78,34,38
2026-04-03,2026-04-02,Domestic,TAG,CEB,Airbus A321,Pilot J,162,1.13,0.94,-10,-12
2026-03-20,2026-03-14,Domestic,CRK,TAG,Boeing 737-800,Pilot K,236,2.3,3.14,2,43
2026-03-07,2026-03-03,Domestic,TAG,CEB,Airbus A320,Pilot J,132,1.57,2.25,35,40
2026-04-10,2026-04-05,International,DVO,ILO,Airbus A321,Pilot B,235,5.2,6.21,47,65
2026-04-11,2026-04-07,Domestic,DVO,CRK,Airbus A321,Pilot H,178,2.24,2.06,-5,-10
2026-03-08,2026-03-02,Domestic,KLO,MNL,Airbus A320,Pilot E,145,2.62,2.52,-8,9
2026-03-18,2026-03-16,Domestic,KLO,MNL,Airbus A320,Pilot H,87,2.7,2.73,24,3
2026-03-15,2026-03-13,Domestic,PPS,TAG,Boeing 737-800,Pilot I,77,1.17,1.04,-2,-5
2026-04-10,2026-04-08,International,DVO,MNL,Airbus A321,Pilot G,103,11.67,11.37,6,-11
2026-04-14,2026-04-07,Domestic,TAG,PPS,Airbus A321,Pilot D,205,2.75,3.08,31,25
2026-04-14,2026-04-13,Domestic,CRK,DGT,Airbus A320,Pilot K,142,1.19,1.61,0,28
2026-04-27,2026-04-24,Domestic,KLO,ILO,Boeing 737-800,Pilot H,125,1.3,1.17,-10,-15
2026-04-16,2026-04-13,Domestic,DGT,CRK,Airbus A321,Pilot K,142,0.81,1.07,-10,8
2026-03-20,2026-03-14,International,KLO,PPS,Airbus A321,Pilot C,115,9.3,9.92,12,44
2026-03-07,2026-03-04,Domestic,BCD,DGT,Boeing 737-800,Pilot K,217,1.27,1.12,-10,-5
2026-04-07,2026-03-31,Domestic,DGT,CEB,Airbus A320,Pilot D,125,2.54,2.95,5,28
2026-04-25,2026-04-18,International,DGT,MNL,ATR 72-600,Pilot F,143,8.95,9.13,-10,5
2026-04-29,2026-04-24,International,ILO,DGT,Airbus A320,Pilot K,162,10.63,11.56,48,55
2026-03-15,2026-03-12,Domestic,ILO,CEB,Airbus A321,Pilot E,182,2.36,3.69,60,79
2026-03-15,2026-03-10,Domestic,CEB,MNL,Airbus A320,Pilot D,113,1.31,1.84,-10,28
2026-03-03,2026-02-26,Domestic,KLO,PPS,Boeing 737-800,Pilot K,56,0.84,0.97,18,12
2026-03-09,2026-03-08,Domestic,DGT,MNL,Airbus A321,Pilot L,191,2.62,2.53,-9,-15
2026-04-03,2026-03-28,Domestic,ILO,BCD,ATR 72-600,Pilot D,163,1.84,1.71,5,-8
2026-04-03,2026-03-30,Domestic,CRK,MNL,Airbus A321,Pilot D,182,3.07,4.22,52,75
2026-03-23,2026-03-17,International,CEB,BCD,Boeing 737-800,Pilot C,159,11.2,11.62,2,27
2026-03-19,2026-03-14,International,CRK,DVO,Airbus A320,Pilot A,151,11.84,12.0,6,1
2026-04-20,2026-04-13,International,DVO,MNL,Airbus A320,Pilot G,248,11.08,10.78,-9,-15
2026-03-29,2026-03-28,International,DGT,MNL,Airbus A321,Pilot D,51,4.41,5.02,37,30
2026-04-19,2026-04-18,Domestic,KLO,CEB,Boeing 737-800,Pilot K,60,2.91,2.92,-10,5
2026-04-28,2026-04-27,Domestic,CEB,KLO,Airbus A321,Pilot C,246,2.46,2.47,2,6
2026-03-20,2026-03-13,Domestic,MNL,ILO,Embraer E190,Pilot H,235,1.62,2.02,11,19
2026-03-13,2026-03-06,Domestic,TAG,PPS,Boeing 737-800,Pilot G,130,2.07,1.85,-3,-7
2026-04-28,2026-04-21,Domestic,DGT,BCD,Embraer E190,Pilot H,158,2.41,3.41,31,54
2026-04-08,2026-04-05,Domestic,PPS,DVO,Airbus A321,Pilot B,138,2.68,3.54,38,49
2026-03-18,2026-03-16,Domestic,CEB,DGT,ATR 72-600,Pilot F,259,0.99,0.99,-10,6
2026-04-07,2026-04-04,Domestic,MNL,BCD,Boeing 737-800,Pilot H,140,0.85,1.94,58,66
2026-04-01,2026-03-26,Domestic,CEB,BCD,Boeing 737-800,Pilot E,207,1.07,1.07,-10,4
2026-04-25,2026-04-23,Domestic,PPS,CEB,Embraer E190,Pilot K,120,1.75,2.68,40,53
2026-03-16,2026-03-12,Domestic,PPS,TAG,Boeing 737-800,Pilot G,123,1.92,2.2,15,3
2026-04-30,2026-04-25,Domestic,TAG,KLO,ATR 72-600,Pilot E,188,1.13,1.3,1,13
2026-04-27,2026-04-24,Domestic,MNL,DGT,Boeing 737-800,Pilot A,127,1.79,2.22,3,22
2026-03-12,2026-03-08,International,CEB,ILO,Airbus A320,Pilot C,43,8.46,9.08,11,37
2026-03-11,2026-03-06,Domestic,DGT,BCD,Boeing 737-800,Pilot F,78,1.06,1.55,17,29
2026-04-02,2026-03-27,Domestic,DGT,CRK,Airbus A321,Pilot E,232,3.0,2.73,-8,-15
2026-03-03,2026-03-01,Domestic,PPS,MNL,ATR 72-600,Pilot K,120,2.24,2.09,7,-3
2026-03-19,2026-03-15,Domestic,CEB,KLO,ATR 72-600,Pilot J,62,1.73,1.64,-5,-8
2026-03-27,2026-03-25,International,MNL,TAG,Airbus A320,Pilot B,246,5.72,5.65,-10,-2
2026-04-29,2026-04-28,Domestic,MNL,PPS,Airbus A320,Pilot H,259,1.55,1.39,-6,-3
2026-04-30,2026-04-25,Domestic,BCD,CRK,Airbus A320,Pilot F,149,2.85,2.72,-10,-15
2026-03-10,2026-03-06,Domestic,TAG,BCD,Airbus A321,Pilot B,178,2.18,1.99,3,-12
2026-04-24,2026-04-22,Domestic,BCD,MNL,Airbus A320,Pilot H,206,1.99,1.78,22,-11
2026-03-06,2026-03-05,International,DVO,MNL,Boeing 737-800,Pilot G,54,6.9,6.81,15,-15
2026-04-15,2026-04-08,Domestic,PPS,KLO,Boeing 737-800,Pilot B,105,2.81,3.56,55,58
2026-04-21,2026-04-15,Domestic,MNL,BCD,ATR 72-600,Pilot F,163,2.75,3.52,-10,37
2026-04-24,2026-04-17,Domestic,TAG,DGT,Airbus A320,Pilot I,160,1.34,2.22,22,59
2026-03-14,2026-03-13,Domestic,TAG,PPS,Boeing 737-800,Pilot D,112,1.17,1.18,12,-1
2026-04-24,2026-04-23,International,PPS,DVO,Airbus A320,Pilot E,40,11.46,12.02,30,38
2026-03-08,2026-03-06,International,TAG,DVO,ATR 72-600,Pilot B,249,7.31,7.32,28,7
2026-04-01,2026-03-31,Domestic,KLO,ILO,Airbus A320,Pilot C,175,2.44,2.41,8,-11
2026-03-29,2026-03-25,Domestic,ILO,TAG,Airbus A320,Pilot L,206,2.63,2.84,16,-1
2026-03-20,2026-03-15,Domestic,CRK,CEB,Airbus A320,Pilot H,136,1.51,1.43,-4,-3
2026-03-02,2026-02-28,Domestic,DGT,MNL,ATR 72-600,Pilot C,151,1.48,1.99,26,28
2026-04-17,2026-04-14,International,BCD,MNL,Airbus A320,Pilot F,137,11.09,11.1,-10,0
2026-03-21,2026-03-17,Domestic,CEB,DGT,Boeing 737-800,Pilot C,134,1.46,2.43,29,46
2026-04-10,2026-04-07,Domestic,DGT,MNL,Boeing 737-800,Pilot F,187,2.4,2.31,11,10
2026-03-26,2026-03-22,International,MNL,DGT,ATR 72-600,Pilot B,259,9.42,9.58,1,7
2026-03-23,2026-03-18,Domestic,KLO,PPS,Airbus A320,Pilot H,211,1.93,1.71,7,-8
2026-04-24,2026-04-17,Domestic,CEB,CRK,Airbus A320,Pilot G,186,2.54,2.07,8,-11
2026-03-06,2026-03-03,Domestic,BCD,TAG,Airbus A321,Pilot H,42,2.03,2.3,41,19
2026-04-14,2026-04-13,Domestic,ILO,CEB,Airbus A320,Pilot F,153,2.51,4.4,83,100
2026-04-15,2026-04-08,Domestic,ILO,CEB,Boeing 737-800,Pilot D,250,1.34,1.89,39,38
2026-03-24,2026-03-19,Domestic,BCD,KLO,Airbus A321,Pilot C,127,2.57,2.41,0,-15
2026-03-17,2026-03-13,International,PPS,DVO,Airbus A321,Pilot C,160,9.53,10.17,26,30
2026-03-01,2026-02-23,International,CRK,DVO,Airbus A320,Pilot F,111,9.68,9.85,27,10
2026-04-27,2026-04-20,Domestic,DGT,CEB,Boeing 737-800,Pilot F,82,2.13,2.59,-8,27
2026-04-27,2026-04-26,Domestic,ILO,BCD,Airbus A320,Pilot I,195,2.85,2.39,-10,-15
2026-03-15,2026-03-08,Domestic,CEB,MNL,Boeing 737-800,Pilot A,108,1.4,1.78,11,28
2026-03-02,2026-02-25,International,MNL,DVO,Airbus A320,Pilot D,169,10.79,11.82,30,55
2026-03-08,2026-03-03,Domestic,DVO,KLO,Embraer E190,Pilot K,170,3.09,2.85,-10,-15
2026-03-05,2026-02-26,Domestic,BCD,ILO,Boeing 737-800,Pilot K,226,2.88,2.96,-4,2
2026-04-20,2026-04-17,Domestic,KLO,BCD,Airbus A320,Pilot L,246,1.76,2.44,25,40
2026-04-24,2026-04-18,Domestic,CRK,DVO,Airbus A320,Pilot D,161,2.26,2.86,13,20
2026-03-10,2026-03-06,Domestic,ILO,BCD,Airbus A321,Pilot B,51,3.18,4.03,43,54
2026-04-15,2026-04-08,Domestic,TAG,PPS,Airbus A320,Pilot C,168,2.16,2.1,-10,-15
2026-03-11,2026-03-07,Domestic,KLO,CRK,Airbus A320,Pilot B,234,1.08,2.41,64,79
2026-03-23,2026-03-17,International,MNL,DVO,ATR 72-600,Pilot L,145,11.2,11.17,-10,-14
2026-04-06,2026-04-02,International,MNL,KLO,Boeing 737-800,Pilot K,164,10.71,10.58,-10,1
2026-04-13,2026-04-10,Domestic,ILO,KLO,Airbus A320,Pilot J,207,1.82,2.39,11,33
2026-04-23,2026-04-20,Domestic,ILO,MNL,Boeing 737-800,Pilot I,136,1.39,1.46,-10,7
2026-03-03,2026-02-24,Domestic,TAG,KLO,Airbus A320,Pilot E,131,1.63,2.01,11,22
2026-03-12,2026-03-06,Domestic,KLO,CEB,Embraer E190,Pilot F,146,2.62,3.22,10,27
2026-03-18,2026-03-16,Domestic,PPS,KLO,Airbus A320,Pilot K,227,1.92,2.38,8,25
2026-03-19,2026-03-12,International,KLO,DGT,Boeing 737-800,Pilot J,147,11.42,11.98,-7,25
2026-04-30,2026-04-25,Domestic,CRK,KLO,ATR 72-600,Pilot G,111,2.56,2.91,22,26
2026-04-17,2026-04-16,International,BCD,PPS,Airbus A320,Pilot K,171,10.15,10.27,5,13
2026-03-20,2026-03-14,Domestic,BCD,CRK,Airbus A320,Pilot E,192,2.93,3.9,36,58
2026-04-29,2026-04-27,Domestic,PPS,DGT,Airbus A321,Pilot E,240,1.41,1.47,8,4
2026-03-31,2026-03-24,Domestic,CEB,TAG,ATR 72-600,Pilot K,236,2.38,2.11,-9,-15
2026-03-31,2026-03-27,Domestic,BCD,DGT,Boeing 737-800,Pilot E,212,0.85,0.8,-10,4
2026-03-27,2026-03-20,Domestic,DVO,PPS,Boeing 737-800,Pilot J,209,3.18,3.47,8,9
2026-03-09,2026-03-05,Domestic,PPS,BCD,ATR 72-600,Pilot F,138,1.43,1.14,-10,-15
2026-04-26,2026-04-25,Domestic,PPS,KLO,ATR 72-600,Pilot D,115,2.4,2.64,-10,4
2026-03-01,2026-02-23,Domestic,BCD,DGT,Airbus A321,Pilot C,163,2.84,3.76,24,55
2026-03-11,2026-03-05,Domestic,DGT,TAG,Boeing 737-800,Pilot H,195,1.19,1.02,-10,-15
2026-03-15,2026-03-12,Domestic,KLO,ILO,Boeing 737-800,Pilot F,154,2.83,4.0,43,66
2026-03-18,2026-03-16,International,MNL,DVO,Airbus A320,Pilot E,85,6.71,6.36,16,-15
2026-03-09,2026-03-02,Domestic,BCD,MNL,ATR 72-600,Pilot I,43,1.86,2.05,11,9
2026-03-02,2026-02-24,Domestic,PPS,DVO,Airbus A320,Pilot A,52,1.93,2.63,-10,28
2026-04-11,2026-04-08,International,CEB,MNL,Airbus A320,Pilot B,133,5.86,6.36,29,28
2026-04-29,2026-04-24,International,CEB,DVO,ATR 72-600,Pilot L,214,11.62,12.04,12,19
2026-03-08,2026-03-06,Domestic,DVO,CEB,Airbus A321,Pilot H,213,3.0,3.35,-3,16
2026-03-19,2026-03-17,Domestic,TAG,DGT,Airbus A320,Pilot G,217,1.58,1.45,16,-10
2026-03-31,2026-03-26,Domestic,KLO,MNL,Airbus A320,Pilot A,195,2.19,2.15,-10,-4
2026-04-26,2026-04-20,Domestic,DGT,BCD,Boeing 737-800,Pilot H,45,2.91,2.91,-10,-4
2026-04-12,2026-04-05,Domestic,TAG,CRK,ATR 72-600,Pilot F,234,2.66,3.23,-10,29
2026-04-16,2026-04-12,Domestic,KLO,CEB,Airbus A320,Pilot H,248,0.9,0.79,20,3
2026-04-05,2026-04-03,Domestic,BCD,PPS,Airbus A320,Pilot A,226,3.06,3.26,12,10
2026-03-26,2026-03-22,Domestic,CRK,DGT,Airbus A321,Pilot G,138,0.91,1.27,35,23
2026-03-13,2026-03-08,Domestic,MNL,PPS,Embraer E190,Pilot G,87,2.21,1.91,-8,-15
2026-04-22,2026-04-15,Domestic,CRK,DGT,Airbus A320,Pilot D,239,2.18,3.17,25,50
2026-04-19,2026-04-18,Domestic,KLO,BCD,Embraer E190,Pilot A,80,2.69,2.84,9,14
2026-03-02,2026-02-25,Domestic,CEB,BCD,ATR 72-600,Pilot L,213,1.16,0.76,-9,-14
2026-04-13,2026-04-09,Domestic,DVO,CEB,Airbus A321,Pilot I,252,1.23,1.59,20,16
2026-03-06,2026-03-01,Domestic,MNL,TAG,ATR 72-600,Pilot H,238,2.61,2.54,11,6
2026-04-15,2026-04-14,Domestic,PPS,DVO,Boeing 737-800,Pilot J,154,1.16,0.83,-2,-6
2026-04-20,2026-04-19,Domestic,TAG,DVO,Boeing 737-800,Pilot I,223,1.93,1.96,13,-5
2026-03-08,2026-03-03,Domestic,TAG,CRK,Airbus A321,Pilot B,222,2.56,2.73,9,9
2026-03-27,2026-03-25,Domestic,CRK,BCD,ATR 72-600,Pilot F,254,2.36,2.55,9,8
2026-03-08,2026-03-03,International,KLO,MNL,ATR 72-600,Pilot K,119,6.65,6.5,3,-6
2026-04-04,2026-04-03,Domestic,DGT,TAG,ATR 72-600,Pilot D,178,1.53,1.33,-10,-2
2026-04-26,2026-04-20,International,KLO,DVO,Embraer E190,Pilot L,219,5.56,5.8,14,23
2026-03-05,2026-03-02,Domestic,DVO,MNL,Airbus A321,Pilot A,89,1.88,1.66,-6,-11
2026-03-25,2026-03-21,Domestic,CRK,BCD,ATR 72-600,Pilot D,89,0.91,0.62,-10,-8
2026-04-29,2026-04-26,Domestic,PPS,TAG,ATR 72-600,Pilot E,125,1.33,2.22,7,51
2026-03-19,2026-03-16,Domestic,ILO,DVO,Airbus A320,Pilot H,119,1.62,2.75,28,71
2026-03-09,2026-03-05,International,TAG,KLO,Airbus A320,Pilot C,205,7.9,7.96,16,2
2026-03-30,2026-03-25,International,TAG,BCD,Airbus A321,Pilot C,245,7.1,6.94,0,-11
2026-04-01,2026-03-27,International,MNL,DGT,ATR 72-600,Pilot H,74,9.84,9.64,-1,-15
2026-04-10,2026-04-03,Domestic,PPS,CRK,Airbus A321,Pilot D,111,2.03,2.92,26,50
2026-03-20,2026-03-18,Domestic,CRK,DVO,Boeing 737-800,Pilot K,244,1.0,0.76,-10,-12
2026-04-28,2026-04-21,Domestic,KLO,BCD,Airbus A320,Pilot K,170,1.46,2.13,30,39
2026-04-01,2026-03-27,Domestic,DVO,CEB,Airbus A321,Pilot D,85,3.18,3.72,-10,31
2026-03-18,2026-03-15,Domestic,CRK,CEB,Boeing 737-800,Pilot G,172,2.49,2.12,-10,-5
2026-04-28,2026-04-21,Domestic,CRK,PPS,Airbus A320,Pilot D,232,0.92,1.31,1,19
2026-04-26,2026-04-21,Domestic,MNL,TAG,ATR 72-600,Pilot E,122,1.88,3.13,60,74
2026-03-31,2026-03-29,International,PPS,DGT,Airbus A320,Pilot I,146,10.93,11.71,49,43
2026-03-02,2026-02-28,Domestic,CEB,BCD,ATR 72-600,Pilot D,174,1.1,1.81,28,52
2026-04-06,2026-04-01,Domestic,CRK,ILO,Airbus A320,Pilot B,224,2.21,2.34,20,10
2026-04-03,2026-03-28,Domestic,CEB,DGT,Embraer E190,Pilot D,164,2.01,2.2,-10,19
2026-03-10,2026-03-09,Domestic,CEB,DVO,Boeing 737-800,Pilot L,250,2.58,2.82,15,9
2026-04-08,2026-04-03,Domestic,CRK,BCD,Airbus A320,Pilot D,206,2.94,2.7,0,-4
2026-04-21,2026-04-17,Domestic,DGT,CRK,Airbus A320,Pilot E,132,1.39,1.03,-6,-15
2026-03-07,2026-02-28,Domestic,DGT,ILO,Airbus A320,Pilot H,147,3.02,3.13,15,3
2026-04-14,2026-04-08,Domestic,CRK,CEB,Boeing 737-800,Pilot B,193,2.04,1.95,2,-1
2026-03-09,2026-03-02,International,KLO,ILO,ATR 72-600,Pilot D,55,11.45,11.21,31,-8
2026-04-15,2026-04-14,Domestic,DGT,DVO,Airbus A321,Pilot C,89,2.83,2.79,-10,-9
2026-03-26,2026-03-20,Domestic,DVO,CEB,Airbus A321,Pilot L,92,0.89,1.17,14,10
2026-03-01,2026-02-26,Domestic,DGT,CEB,Boeing 737-800,Pilot L,216,2.14,2.43,-7,12
2026-04-28,2026-04-24,Domestic,CEB,KLO,Boeing 737-800,Pilot J,220,2.53,2.9,3,16
2026-03-11,2026-03-04,Domestic,DVO,CRK,Boeing 737-800,Pilot C,220,1.47,1.63,19,11
2026-04-06,2026-03-30,Domestic,CRK,MNL,Airbus A321,Pilot H,63,2.87,2.63,-10,-13
2026-03-12,2026-03-10,Domestic,MNL,KLO,Boeing 737-800,Pilot H,104,1.38,1.59,16,17
2026-04-26,2026-04-24,Domestic,TAG,CEB,Embraer E190,Pilot K,108,2.82,3.49,7,39
2026-04-15,2026-04-09,Domestic,TAG,MNL,Airbus A321,Pilot B,45,0.99,0.71,-3,-13
2026-04-19,2026-04-12,Domestic,CRK,CEB,Airbus A320,Pilot I,96,1.18,1.03,2,-6
2026-03-27,2026-03-22,International,TAG,ILO,Airbus A320,Pilot C,134,8.71,8.68,9,-6
2026-03-29,2026-03-28,Domestic,PPS,DGT,Boeing 737-800,Pilot G,234,2.85,2.74,-5,-15
2026-04-08,2026-04-06,Domestic,TAG,DVO,Airbus A321,Pilot K,77,1.15,1.58,12,23
2026-04-17,2026-04-11,International,TAG,DVO,Embraer E190,Pilot A,229,9.68,10.15,6,15
2026-04-21,2026-04-15,Domestic,KLO,DVO,Boeing 737-800,Pilot B,220,1.35,1.72,-1,27
2026-03-02,2026-02-23,Domestic,CEB,CRK,Boeing 737-800,Pilot J,74,1.89,2.85,47,71
2026-04-10,2026-04-06,International,DGT,PPS,ATR 72-600,Pilot A,97,5.86,7.1,21,69
2026-03-07,2026-03-04,Domestic,BCD,CRK,Airbus A320,Pilot I,140,1.08,1.12,4,8
2026-03-18,2026-03-17,Domestic,DGT,BCD,ATR 72-600,Pilot G,247,3.07,3.29,15,15
2026-04-20,2026-04-14,Domestic,DGT,TAG,Airbus A320,Pilot E,212,1.85,1.39,-10,-15
2026-03-16,2026-03-09,Domestic,CEB,DGT,Boeing 737-800,Pilot K,253,2.46,2.69,2,20
2026-04-18,2026-04-17,Domestic,ILO,KLO,Embraer E190,Pilot K,108,2.18,2.2,5,12
2026-03-29,2026-03-25,Domestic,CEB,PPS,ATR 72-600,Pilot D,239,2.0,2.06,-10,7
2026-03-15,2026-03-12,Domestic,MNL,DGT,ATR 72-600,Pilot A,250,2.28,2.32,21,5
2026-03-21,2026-03-15,Domestic,DGT,PPS,Airbus A321,Pilot B,171,2.96,3.17,1,12
2026-04-02,2026-03-27,Domestic,DGT,DVO,ATR 72-600,Pilot B,73,2.48,2.85,4,13
2026-04-16,2026-04-14,Domestic,DGT,CEB,Boeing 737-800,Pilot L,98,2.08,2.28,-1,7
2026-04-06,2026-03-30,Domestic,TAG,CEB,Boeing 737-800,Pilot H,68,2.35,3.32,77,70
2026-04-26,2026-04-25,International,BCD,TAG,Airbus A320,Pilot I,217,7.59,8.05,-3,23
2026-04-22,2026-04-16,Domestic,KLO,ILO,Airbus A320,Pilot C,108,1.84,2.39,-10,32
2026-04-15,2026-04-09,Domestic,DGT,DVO,Boeing 737-800,Pilot K,194,2.3,2.04,-10,-15
2026-04-06,2026-04-04,Domestic,KLO,CRK,Airbus A320,Pilot I,98,1.86,2.64,29,47
2026-03-18,2026-03-13,Domestic,BCD,DVO,Boeing 737-800,Pilot J,254,2.62,2.54,41,-6
2026-03-26,2026-03-24,Domestic,DVO,TAG,ATR 72-600,Pilot F,210,3.13,3.28,-3,14
2026-03-08,2026-03-06,Domestic,PPS,BCD,Embraer E190,Pilot I,122,3.1,3.26,40,11
2026-03-23,2026-03-22,Domestic,TAG,BCD,Airbus A320,Pilot G,144,2.77,3.31,28,24
2026-04-26,2026-04-20,International,BCD,CRK,Embraer E190,Pilot E,52,8.92,8.65,8,-11
2026-03-26,2026-03-20,International,ILO,BCD,Airbus A320,Pilot H,70,4.62,4.61,6,7
2026-03-07,2026-03-03,Domestic,CEB,TAG,Airbus A321,Pilot D,259,1.23,1.82,16,36
2026-04-09,2026-04-03,Domestic,MNL,DGT,ATR 72-600,Pilot L,219,1.95,1.86,31,3
2026-04-28,2026-04-25,Domestic,BCD,KLO,Airbus A320,Pilot I,224,1.42,1.55,21,20
2026-04-22,2026-04-18,Domestic,BCD,KLO,Airbus A320,Pilot I,181,0.81,0.65,-3,-7
2026-03-17,2026-03-11,Domestic,PPS,ILO,Airbus A320,Pilot I,88,3.12,3.98,8,41
2026-03-28,2026-03-24,International,DGT,DVO,Boeing 737-800,Pilot F,63,7.7,8.85,56,69
2026-04-02,2026-03-28,Domestic,ILO,DGT,ATR 72-600,Pilot L,199,2.03,2.08,18,2
